Country,Name,Contact,CountryCode,Course,Currency_Code,Currency_x,Currency_y,Units,Buy,Sell
panama,Jeremiah Little,237-938-9182x033,TD,C#,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Gregory Howard,(618)454-1011,PY,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Nicole Sullivan,+1-634-276-6460x103,IE,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Corey Kim,(673)978-3518,HR,Java,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Linda Morton,(696)526-4503x6910,LC,Java,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Renee Cole,797-645-8674,KH,Java,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Andrea Scott,869.726.6046,CR,PHP,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Wayne Valenzuela,+1-742-585-8922x756,CZ,C#,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Cindy Huffman,329-889-0030x067,PT,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Lisa Sanchez,204.982.5079,MY,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Michael Williams,357.271.8328,IT,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Jonathan Wilson,577.908.4236x41708,GQ,C#,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,James Andrews,785-245-6107,BY,C#,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Ruben Giles,713-203-3536x1996,SC,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Lindsay Norris,+1-845-580-0513x330,YE,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Christina Todd,001-799-683-5459x246,KW,C#,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Elizabeth Jimenez,+1-257-918-7420x3180,TH,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Karen Santiago,584.399.8172,MK,PHP,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Ricardo Kelly,(756)591-8073x073,LU,PHP,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Rebekah Anderson,558.820.9520,GQ,PHP,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Carol Jimenez,001-519-654-3771x716,SV,Python,USD,US Dollar,U.S. Dollar,1,133.34,133.94
panama,Stephanie Hill,566.526.7252x8326,UG,Java,USD,US Dollar,U.S. Dollar,1,133.34,133.94
