Country,Name,Contact,CountryCode,Course,Currency_Code,Currency_x,Currency_y,Units,Buy,Sell
finland,Mr. Jesse Ochoa,(223)779-7350,VA,C#,EUR,Euro,European Euro,1,143.56,144.21
kiribati,Angela Peterson,755.498.1243,EC,C#,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
andorra,Susan Barajas,001-554-898-6103,CR,Java,EUR,Euro,European Euro,1,143.56,144.21
liechtenstein,Curtis Mitchell,001-272-515-2280,TM,PHP,CHF,Swiss Franc,Swiss Franc,1,147.0,147.66
china,Eric Carter,(877)584-4869,MV,Java,CNY,Yuan Renminbi,Chinese Yuan,1,18.47,18.55
christmas island,Jennifer Martinez,501.793.2261x92465,GQ,Python,AUD,Australian Dollar,Australian Dollar,1,88.11,88.51
estonia,Denise Jackson,327-972-8321x6528,BN,C#,EUR,Euro,European Euro,1,143.56,144.21
greenland,Charlotte Dawson,414-414-9161x4740,AE,C#,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
india,Terri Cooper,(389)465-3578x426,NL,Python,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
thailand,Catherine Garner,774.436.6647,ML,C#,THB,Baht,Thai Baht,1,3.62,3.63
american samoa,Shawn Gaines,(981)717-2514x414,PW,PHP,USD,US Dollar,U.S. Dollar,1,133.32,133.92
slovenia,Adam Lambert,001-779-533-7087x847,SV,C#,EUR,Euro,European Euro,1,143.56,144.21
india,Ariel Hoffman,980.893.6638x29070,KP,C#,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
haiti,Cindy Ross,001-829-387-0943x121,DJ,Python,USD,US Dollar,U.S. Dollar,1,133.32,133.92
spain,Gavin Hale,+1-507-243-2663x9135,CM,C#,EUR,Euro,European Euro,1,143.56,144.21
portugal,Michelle Montgomery,(688)270-8778x3034,SA,PHP,EUR,Euro,European Euro,1,143.56,144.21
austria,Edward Rodriguez,001-901-984-0366x127,AG,Java,EUR,Euro,European Euro,1,143.56,144.21
india,Dr. Kevin Lozano,+1-226-665-9231x81844,RS,Java,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
saudi arabia,Dawn Salazar,001-423-302-3580,DE,Python,SAR,Saudi Riyal,Saudi Arabian Riyal,1,35.55,35.71
estonia,Michelle Smith,(411)721-8245,ER,Java,EUR,Euro,European Euro,1,143.56,144.21
denmark,Michael Bishop,8728368698,MN,PHP,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
bhutan,Christina Hartman,(343)627-9099x0050,KP,Java,INR,Indian Rupee,Indian Rupee,100,160.0,160.15
ecuador,Erica Mosley,001-351-719-2029x028,PT,PHP,USD,US Dollar,U.S. Dollar,1,133.32,133.92
palau,Andres Harrell,+1-563-385-0625x859,SZ,C#,USD,US Dollar,U.S. Dollar,1,133.32,133.92
latvia,Jonathan Combs,+1-408-464-6273x493,CM,Python,EUR,Euro,European Euro,1,143.56,144.21
french guiana,Cody Pace,001-554-341-1414x3913,MH,PHP,EUR,Euro,European Euro,1,143.56,144.21
italy,Charles Tate,368-954-0157,IS,PHP,EUR,Euro,European Euro,1,143.56,144.21
greenland,Shane Gregory,399.709.6200x547,KW,C#,DKK,Danish Krone,Danish Kroner,1,19.25,19.33
san marino,John Hicks,001-703-860-3005x709,KN,PHP,EUR,Euro,European Euro,1,143.56,144.21
